workstream,planned_path,status,evidence,notes
A.1,backend/app/Models/User.php,Implemented,"File exists: backend/app/Models/User.php","Contains traits and relationships; no further action"
A.1,backend/app/Models/Profile.php,Implemented,"File exists: backend/app/Models/Profile.php",""
A.1,backend/app/Models/Consent.php,Implemented,"File exists: backend/app/Models/Consent.php",""
A.1,backend/app/Models/AuditLog.php,Implemented,"File exists: backend/app/Models/AuditLog.php",""
A.1,backend/app/Models/Center.php,Implemented,"File exists: backend/app/Models/Center.php",""
A.1,backend/app/Models/Service.php,Implemented,"File exists: backend/app/Models/Service.php",""
A.1,backend/app/Models/Staff.php,Implemented,"File exists: backend/app/Models/Staff.php",""
A.1,backend/app/Models/Booking.php,Implemented,"File exists: backend/app/Models/Booking.php",""
A.1,backend/app/Models/Testimonial.php,Implemented,"File exists: backend/app/Models/Testimonial.php",""
A.1,backend/app/Models/FAQ.php,Implemented,"File exists: backend/app/Models/FAQ.php",""
A.1,backend/app/Models/Subscription.php,Implemented,"File exists: backend/app/Models/Subscription.php",""
A.1,backend/app/Models/ContactSubmission.php,Implemented,"File exists: backend/app/Models/ContactSubmission.php",""
A.1,backend/app/Models/Media.php,Implemented,"File exists: backend/app/Models/Media.php",""
A.1,backend/app/Models/ContentTranslation.php,Implemented,"File exists: backend/app/Models/ContentTranslation.php",""
A.2,backend/app/Services/Consent/ConsentService.php,Implemented,"File exists: backend/app/Services/Consent/ConsentService.php",""
A.2,backend/app/Services/Audit/AuditService.php,Implemented,"File exists: backend/app/Services/Audit/AuditService.php",""
A.2,backend/app/Services/User/DataExportService.php,Missing,,"Service not found; implement PDPA export"
A.2,backend/app/Observers/AuditObserver.php,Missing,,"Observer file not found in expected path"
A.3,backend/app/Http/Controllers/Api/V1/Auth/RegisterController.php,Missing,,"No API controllers found under Api/V1 in repo search"
A.3,backend/app/Http/Controllers/Api/V1/Auth/LoginController.php,Missing,,""
A.3,backend/app/Http/Controllers/Api/V1/Auth/LogoutController.php,Missing,,""
A.4,backend/app/Http/Responses/ApiResponse.php,Missing,,"File not found in expected path; search suggests custom response class may be elsewhere"
B.1,backend/app/Services/Center/CenterService.php,Missing,,"Center service not found; Center model exists"
B.1,backend/app/Http/Controllers/Api/V1/CenterController.php,Missing,,""
B.2,backend/app/Services/Content/FAQService.php,Missing,,"FAQ model exists, service missing"
C.1,backend/app/Services/Booking/BookingService.php,Missing,,"Booking model exists, booking service not found"
C.1,backend/app/Services/Integration/CalendlyService.php,Missing,,""
D.1,backend/app/Services/Testimonial/TestimonialService.php,Missing,,"Testimonial model exists; service missing"
D.2,backend/app/Services/Media/MediaService.php,Missing,,"Media model exists; S3/service code not found"
E.1,backend/storage/api-docs/openapi.yaml,Missing,,"No `storage/api-docs` files found"
E.1,backend/app/Console/Commands/GenerateApiDocsCommand.php,Missing,,"No app/Console commands found in search results"
E.1,backend/postman/ElderCare_SG_API.postman_collection.json,Missing,,"No postman files found"
F.1,backend/tests/Unit/Models/UserTest.php,Missing,,"Tests present are example placeholders only"
F.2,backend/tests/Feature/Auth/RegistrationTest.php,Missing,,""
Factories,backend/database/factories/UserFactory.php,Implemented,"File exists: backend/database/factories/UserFactory.php","Other factories missing"
Seeders,backend/database/seeders/DatabaseSeeder.php,Implemented,"File exists: backend/database/seeders/DatabaseSeeder.php","DemoSeeder missing"
Migrations,backend/database/migrations/*,Implemented,"Migrations found (18 files); key migrations present: centers, services, bookings, testimonials, faqs","Several migrations were guarded for MySQL-specific SQL (centers, faqs, services, testimonials)"
CI,github workflows,Missing,,"CI workflow change to run sqlite migrations before tests not implemented"
Other,backend/postman,Missing,,"Postman collection not present"
Other,backend/storage/api-docs,Missing,,"OpenAPI spec not found"
